country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file
Ireland,2021,13192,,2022,mine_production_pb_content,"Lead > Mine, Pb content",metric tons,metric_tonnes,2,myb3-2022-Ireland-adv.xlsx
Ireland,2022,14181,,2022,mine_production_pb_content,"Lead > Mine, Pb content",metric tons,metric_tonnes,1,myb3-2022-Ireland-adv.xlsx
Kazakhstan,2015,40700,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-kazakhstan.xlsx
Kazakhstan,2016,70500,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-kazakhstan.xlsx
Kazakhstan,2017,111200,,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-kazakhstan.xlsx
Kazakhstan,2018,86500,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-kazakhstan.xlsx
Kazakhstan,2019,55700,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-kazakhstan.xlsx
Kazakhstan,2020,30200,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-kazakhstan.xlsx
Kazakhstan,2021,29900,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-kazakhstan.xlsx
Kazakhstan,2022,30000,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-kazakhstan.xlsx
Kazakhstan,2023,45900,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2023-kazakhstan.xlsx
Kosovo,2015,5500,,2016,mine_production_pb_content,"Lead, mine production > Concentrate, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,5,myb3-2016-kv.xlsx
Kosovo,2016,6500,,2016,mine_production_pb_content,"Lead, mine production > Concentrate, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2016-kv.xlsx
Laos,2015,200,r,2019,mine_production_pb_content,"Lead, mine, Pb contente,",kilograms,converted_from_kg,3,myb3-2019-laos.xlsx
Laos,2016,230,r,2019,mine_production_pb_content,"Lead, mine, Pb contente,",kilograms,converted_from_kg,2,myb3-2019-laos.xlsx
Laos,2017,660,,2020,mine_production_pb_content,"Lead, mine, Pb contente,",kilograms,converted_from_kg,3,myb3-2020-21-laos.xlsx
Laos,2018,340,,2022,mine_production_pb_content,"Lead, mine, Pb contente,",kilograms,converted_from_kg,4,myb3-2022-Laos-ert.xlsx
Laos,2019,250,,2022,mine_production_pb_content,"Lead, mine, Pb contente,",kilograms,converted_from_kg,3,myb3-2022-Laos-ert.xlsx
Laos,2020,100,,2022,mine_production_pb_content,"Lead, mine, Pb contente,",kilograms,converted_from_kg,2,myb3-2022-Laos-ert.xlsx
Laos,2021,170,,2022,mine_production_pb_content,"Lead, mine, Pb contente,",kilograms,converted_from_kg,2,myb3-2022-Laos-ert.xlsx
Laos,2022,1900,,2022,mine_production_pb_content,"Lead, mine, Pb contente,",kilograms,converted_from_kg,1,myb3-2022-Laos-ert.xlsx
Macedonia,2015,28698,,2017,mine_production_pb_content,"Lead, mine, concentrate, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2017-18-mk.xls
Macedonia,2016,23487,,2017,mine_production_pb_content,"Lead, mine, concentrate, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2017-18-mk.xls
Macedonia,2017,24823,,2017,mine_production_pb_content,"Lead, mine, concentrate, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2017-18-mk.xls
Macedonia,2018,32100,e,2017,mine_production_pb_content,"Lead, mine, concentrate, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2017-18-mk.xls
Mexico,2015,263772,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-mexico.xlsx
Mexico,2016,241271,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-mexico.xlsx
Mexico,2017,243022,,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-mexico.xlsx
Mexico,2018,240304,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-mexico.xlsx
Mexico,2019,259457,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-mexico.xlsx
Mexico,2020,260390,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-mexico.xlsx
Mexico,2021,272231,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-mexico.xlsx
Mexico,2022,273000,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-mexico.xlsx
Mongolia,2017,7000,,2020,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,1,myb3-2020-21-mongolia.xlsx
Mongolia,2018,11000,,2022,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,2,myb3-2022-mongolia.xlsx
Mongolia,2019,12000,e,2023,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,3,myb3-2023-mongolia.xlsx
Mongolia,2020,12000,e,2023,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,3,myb3-2023-mongolia.xlsx
Mongolia,2021,11200,,2023,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,3,myb3-2023-mongolia.xlsx
