country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file
North Korea,2020,3000,,2022,refined_primary,"Lead > Refinery, primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-North_Korea-ert.xlsx
North Korea,2021,3000,,2022,refined_primary,"Lead > Refinery, primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-North_Korea-ert.xlsx
North Korea,2022,3000,,2022,refined_primary,"Lead > Refinery, primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-North_Korea-ert.xlsx
Peru,2015,1494,,2019,refined_primary,"Lead > Refinery, primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-peru.xlsx
Poland,2015,40000,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-poland.xlsx
Poland,2016,40000,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2019-poland.xlsx
Poland,2017,41000,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Poland-advrel.xlsx
Poland,2018,40000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-Poland-ert.xlsx
Poland,2019,48000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-Poland-ert.xlsx
Poland,2020,40800,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Poland-ert.xlsx
Poland,2021,39000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Poland-ert.xlsx
Poland,2022,36000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-Poland-ert.xlsx
Republic Of Korea,2015,291000,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-south-korea.xlsx
Republic Of Korea,2016,441000,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-south-korea.xlsx
