year,country_trans,bgs_commodity_trans,Mass of Pb,concat_figure_notes_text,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
1975,Colombia,"lead, mine",114,,,,,,,,,,,,,
1975,Zambia,"lead, refined",18832,,,,,,,,,,,,,
1975,Chile,"lead, mine",309,,,,,,,,,,,,,
1975,Czechoslovakia,"lead, mine",4700,Estimates.,,,,,,,,,,,,
1975,Belgium,"lead, refined",114948,Including secondary metal.,,,,,,,,,,,,
1975,Japan,"lead, mine",47208,,,,,,,,,,,,,
1975,France,"lead, refined",150746,,,,,,,,,,,,,
1975,Brazil,"lead, refined",37540,,,,,,,,,,,,,
1975,Italy,"lead, refined",90000,,,,,,,,,,,,,
1975,Morocco,"lead, refined",7900,,,,,,,,,,,,,
1975,Greece,"lead, refined",16300,,,,,,,,,,,,,
1975,Yugoslavia,"lead, refined",125691,,,,,,,,,,,,,
1975,Norway,"lead, refined",600,,,,,,,,,,,,,
1975,Guatemala,"lead, mine",71,,,,,,,,,,,,,
1975,USA,"lead, mine",563783,Recoverable.,,,,,,,,,,,,
1975,Tunisia,"lead, mine",9930,,,,,,,,,,,,,
1975,Romania,"lead, mine",40000,Estimates.,,,,,,,,,,,,
1975,Spain,"lead, mine",58518,,,,,,,,,,,,,
1975,South Africa,"lead, mine",3605,,,,,,,,,,,,,
1975,Sweden,"lead, refined",38673,,,,,,,,,,,,,
1975,USA,"lead, refined",579008,,,,,,,,,,,,,
1975,Peru,"lead, mine",154168,Recoverable.,,,,,,,,,,,,
1975,Argentina,"lead, refined",36000,,,,,,,,,,,,,
1975,Poland,"lead, mine",65000,,,,,,,,,,,,,
1975,Thailand,"lead, mine",1443,,,,,,,,,,,,,
1975,Philippines,"lead, mine",3381,,,,,,,,,,,,,
1975,United Kingdom,"lead, refined",241291,Including secondary metal.,,,,,,,,,,,,
1975,Soviet Union,"lead, refined",660000,Estimates.,,,,,,,,,,,,
1975,Guatemala,"lead, refined",189,,,,,,,,,,,,,
1975,India,"lead, refined",4769,,,,,,,,,,,,,
1975,Turkey,"lead, mine",6454,,,,,,,,,,,,,
1975,Iran,"lead, mine",50000,Years ended 20 March following that stated.,,,,,,,,,,,,
1975,Soviet Union,"lead, mine",600000,Estimates.,,,,,,,,,,,,
1975,Honduras,"lead, mine",23263,,,,,,,,,,,,,
1975,Korea (Rep. of),"lead, refined",5739,,,,,,,,,,,,,
1975,Argentina,"lead, mine",30046,,,,,,,,,,,,,
1975,Netherlands,"lead, refined",23900,,,,,,,,,,,,,
1975,Korea (Rep. of),"lead, mine",12164,,,,,,,,,,,,,
1975,Australia,"lead, mine",407801,,,,,,,,,,,,,
1975,Mexico,"lead, refined",172928,,,,,,,,,,,,,
1975,Algeria,"lead, mine",3200,,,,,,,,,,,,,
1975,"Korea, Dem. P.R. of","lead, refined",80000,Estimates.,,,,,,,,,,,,
1975,Austria,"lead, mine",6101,,,,,,,,,,,,,
1975,Bolivia,"lead, mine",16018,,,,,,,,,,,,,
1975,Nigeria,"lead, mine",130,,,,,,,,,,,,,
1975,"Korea, Dem. P.R. of","lead, mine",120000,Estimates.,,,,,,,,,,,,
1975,United Kingdom,"lead, mine",6426,,,,,,,,,,,,,
1975,Norway,"lead, mine",3229,,,,,,,,,,,,,
1975,Turkey,"lead, refined",3000,,,,,,,,,,,,,
1975,Bulgaria,"lead, mine",108000,Estimates.,,,,,,,,,,,,
1975,Tunisia,"lead, refined",23700,,,,,,,,,,,,,
