country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file,,,,
Germany,2021,217000,,2022,refined_secondary,"Lead, refinery > Secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,2,myb3-2022-Germany-adv.xlsx,,,,
Germany,2022,192000,,2022,refined_secondary,"Lead, refinery > Secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,1,myb3-2022-Germany-adv.xlsx,,,,
Ghana,2015,3048,,2019,refined_secondary,"Lead, refinery, secondary",metric tons,metric_tonnes,4,myb3-2019-ghana.xlsx,,,,
Ghana,2016,1800,,2019,refined_secondary,"Lead, refinery, secondary",metric tons,metric_tonnes,3,myb3-2019-ghana.xlsx,,,,
India,2015,358000,,2017,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2017-18-India.xlsx,,,,
India,2016,385000,,2017,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2017-18-India.xlsx,,,,
India,2017,647000,,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-india.xlsx,,,,
India,2018,688000,,2022,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-india.xlsx,,,,
India,2019,737000,,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,5,myb3-2023-India-ERT.xlsx,,,,
India,2020,620000,,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-India-ERT.xlsx,,,,
India,2021,860000,,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-India-ERT.xlsx,,,,
India,2022,760000,,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-India-ERT.xlsx,,,,
India,2023,820000,,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-India-ERT.xlsx,,,,
Indonesia,2015,46000,,2019,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-indonesia.xlsx,,,,
Indonesia,2016,48000,,2019,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-indonesia.xlsx,,,,
Indonesia,2017,46000,,2020,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-indonesia.xlsx,,,,
Indonesia,2018,54000,,2022,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-indonesia.xlsx,,,,
Indonesia,2019,54000,,2023,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-indonesia.xlsx,,,,
Indonesia,2020,53000,,2023,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-indonesia.xlsx,,,,
Indonesia,2021,54000,,2023,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-indonesia.xlsx,,,,
Indonesia,2022,55000,,2023,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-indonesia.xlsx,,,,
Indonesia,2023,58000,,2023,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2023-indonesia.xlsx,,,,
Iran,2015,100000,r,2019,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-iran.xlsx,,,,
Iran,2016,108000,r,2019,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-iran.xlsx,,,,
Iran,2017,103000,,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-iran.xlsx,,,,
Iran,2018,100000,,2022,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-iran.xlsx,,,,
Iran,2019,98000,e,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-iran.xlsx,,,,
Iran,2020,97000,e,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-iran.xlsx,,,,
Iran,2021,96000,r,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-iran.xlsx,,,,
Iran,2022,96000,r,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-iran.xlsx,,,,
Iran,2023,97000,,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2023-iran.xlsx,,,,
Ireland,2015,17200,,2019,refined_secondary,"Lead > Refinery, secondary",metric tons,metric_tonnes,4,myb3-2019-ireland.xlsx,,,,
Ireland,2016,18000,,2019,refined_secondary,"Lead > Refinery, secondary",metric tons,metric_tonnes,3,myb3-2019-ireland.xlsx,,,,
Ireland,2017,17500,,2020,refined_secondary,"Lead > Refinery, secondary",metric tons,metric_tonnes,3,myb3-2020-21-Ireland-advrel.xlsx,,,,
Ireland,2018,15000,,2022,refined_secondary,"Lead > Refinery, secondary",metric tons,metric_tonnes,4,myb3-2022-Ireland-adv.xlsx,,,,
Ireland,2019,16300,,2022,refined_secondary,"Lead > Refinery, secondary",metric tons,metric_tonnes,3,myb3-2022-Ireland-adv.xlsx,,,,
Ireland,2020,12000,,2022,refined_secondary,"Lead > Refinery, secondary",metric tons,metric_tonnes,2,myb3-2022-Ireland-adv.xlsx,,,,
Ireland,2021,14000,,2022,refined_secondary,"Lead > Refinery, secondary",metric tons,metric_tonnes,2,myb3-2022-Ireland-adv.xlsx,,,,
Ireland,2022,15000,,2022,refined_secondary,"Lead > Refinery, secondary",metric tons,metric_tonnes,1,myb3-2022-Ireland-adv.xlsx,,,,
Israel,2015,26000,e,2019,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-israel.xlsx,,,,
Israel,2016,24128,,2019,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-israel.xlsx,,,,
Israel,2017,25261,,2020,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-israel.xlsx,,,,
Israel,2018,28700,,2022,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-Israel-advrel.xlsx,,,,
Israel,2019,24090,,2022,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-Israel-advrel.xlsx,,,,
Israel,2020,23946,,2022,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Israel-advrel.xlsx,,,,
Israel,2021,23896,,2022,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Israel-advrel.xlsx,,,,
Israel,2022,23900,e,2022,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-Israel-advrel.xlsx,,,,
